id,measure_type,measure_rating
1,deposit_incentive_rating,4
1,distance_incentive_rating,5
1,education_incentive_rating,5
1,removable_incentive_rating,5
2,deposit_incentive_rating,5
2,distance_incentive_rating,3
2,education_incentive_rating,2
2,removable_incentive_rating,5
3,deposit_incentive_rating,5
3,distance_incentive_rating,2
3,education_incentive_rating,3
3,removable_incentive_rating,4
4,deposit_incentive_rating,5
4,distance_incentive_rating,5
4,education_incentive_rating,5
4,removable_incentive_rating,5
5,deposit_incentive_rating,3
5,distance_incentive_rating,1
5,education_incentive_rating,3
5,removable_incentive_rating,5
6,deposit_incentive_rating,2
6,distance_incentive_rating,4
6,education_incentive_rating,4
6,removable_incentive_rating,4
7,deposit_incentive_rating,4
7,distance_incentive_rating,3
7,education_incentive_rating,3
7,removable_incentive_rating,3
8,deposit_incentive_rating,1
8,distance_incentive_rating,2
8,education_incentive_rating,1
8,removable_incentive_rating,4
9,deposit_incentive_rating,5
9,distance_incentive_rating,2
9,education_incentive_rating,5
9,removable_incentive_rating,5
10,deposit_incentive_rating,4
10,distance_incentive_rating,4
10,education_incentive_rating,4
10,removable_incentive_rating,5
11,deposit_incentive_rating,3
11,distance_incentive_rating,1
11,education_incentive_rating,3
11,removable_incentive_rating,5
12,deposit_incentive_rating,5
12,distance_incentive_rating,2
12,education_incentive_rating,3
12,removable_incentive_rating,4
13,deposit_incentive_rating,3
13,distance_incentive_rating,2
13,education_incentive_rating,3
13,removable_incentive_rating,3
14,deposit_incentive_rating,4
14,distance_incentive_rating,5
14,education_incentive_rating,2
14,removable_incentive_rating,2
15,deposit_incentive_rating,1
15,distance_incentive_rating,5
15,education_incentive_rating,3
15,removable_incentive_rating,5
16,deposit_incentive_rating,3
16,distance_incentive_rating,4
16,education_incentive_rating,3
16,removable_incentive_rating,4
17,deposit_incentive_rating,3
17,distance_incentive_rating,3
17,education_incentive_rating,5
17,removable_incentive_rating,3
18,deposit_incentive_rating,1
18,distance_incentive_rating,2
18,education_incentive_rating,5
18,removable_incentive_rating,3
19,deposit_incentive_rating,5
19,distance_incentive_rating,2
19,education_incentive_rating,2
19,removable_incentive_rating,5
20,deposit_incentive_rating,5
20,distance_incentive_rating,5
20,education_incentive_rating,4
20,removable_incentive_rating,5
21,deposit_incentive_rating,4
21,distance_incentive_rating,4
21,education_incentive_rating,5
21,removable_incentive_rating,5
22,deposit_incentive_rating,3
22,distance_incentive_rating,4
22,education_incentive_rating,5
22,removable_incentive_rating,5
23,deposit_incentive_rating,3
23,distance_incentive_rating,3
23,education_incentive_rating,5
23,removable_incentive_rating,5
24,deposit_incentive_rating,4
24,distance_incentive_rating,1
24,education_incentive_rating,1
24,removable_incentive_rating,2
25,deposit_incentive_rating,2
25,distance_incentive_rating,4
25,education_incentive_rating,4
25,removable_incentive_rating,4
26,deposit_incentive_rating,4
26,distance_incentive_rating,3
26,education_incentive_rating,5
26,removable_incentive_rating,5
27,deposit_incentive_rating,2
27,distance_incentive_rating,5
27,education_incentive_rating,5
27,removable_incentive_rating,2
28,deposit_incentive_rating,3
28,distance_incentive_rating,2
28,education_incentive_rating,4
28,removable_incentive_rating,5
29,deposit_incentive_rating,4
29,distance_incentive_rating,2
29,education_incentive_rating,4
29,removable_incentive_rating,5
30,deposit_incentive_rating,4
30,distance_incentive_rating,4
30,education_incentive_rating,2
30,removable_incentive_rating,2
31,deposit_incentive_rating,4
31,distance_incentive_rating,4
31,education_incentive_rating,3
31,removable_incentive_rating,4
32,deposit_incentive_rating,4
32,distance_incentive_rating,5
32,education_incentive_rating,4
32,removable_incentive_rating,3
33,deposit_incentive_rating,3
33,distance_incentive_rating,1
33,education_incentive_rating,3
33,removable_incentive_rating,3
34,deposit_incentive_rating,3
34,distance_incentive_rating,3
34,education_incentive_rating,5
34,removable_incentive_rating,5
35,deposit_incentive_rating,5
35,distance_incentive_rating,1
35,education_incentive_rating,4
35,removable_incentive_rating,5
